model,dataset,split_by,seed,preprocessing_version,dataset_fingerprint,auc,accuracy,log_loss,rmse,test_interactions,positive_rate,checkpoint
BKT,assist2009,learner_history,20260827,p2.12/v1,39cfb98e85152887b2b17a85005d5c265eda0d2516734f6b85654e30bdc8f005,0.7085912721493446,0.6506304514846115,0.6442076563589797,0.4719097343565403,44254,0.644823,kt_research/checkpoints/BKT_assist2009.json
DKT,assist2009,learner_history,20260827,p2.12/v1,39cfb98e85152887b2b17a85005d5c265eda0d2516734f6b85654e30bdc8f005,0.7476117154899254,0.724883626338862,0.5559139031509864,0.4321206076846326,44254,0.644823,kt_research/checkpoints/DKT_assist2009.pt
Transformer,assist2009,learner_history,20260827,p2.12/v1,39cfb98e85152887b2b17a85005d5c265eda0d2516734f6b85654e30bdc8f005,0.7454252596925494,0.71955077507118,0.5598623055673081,0.43379181386426613,44254,0.644823,kt_research/checkpoints/Transformer_assist2009.pt
